ID,Caseid,Activity,Urgency,Impact,Priority,StartDate,EndDate,TicketStatus,UpdateDateTime,Duration,Origin,Class
1,CS_473432,Test,1,1,1,2023-03-28,2023-06-28,"On Hold","2024-05-03 16:27:38",92,"George E.",Change
2,CS_898995,Design,1,3,3,2023-06-23,2023-07-12,"In Process","2024-05-03 16:27:38",19,"Rona E.",Problem
3,CS_200898,Test,3,3,5,2023-05-13,2023-05-25,Open,"2024-05-03 16:27:38",12,"Rona E.",Problem
4,CS_378121,Construction,3,1,3,2023-03-06,2023-03-20,"Deployed Failed","2024-05-03 16:27:38",14,"Achmed M.",Change
5,CS_636924,Construction,3,3,5,2023-06-16,2023-08-22,"Deployed Failed","2024-05-03 16:27:38",67,"Achmed M.",Change
6,CS_991083,Construction,1,2,2,2023-03-03,2023-05-31,"Deployed Failed","2024-05-03 16:27:38",89,"Bill B.",Incident
7,CS_719073,Construction,3,1,3,2023-06-02,2023-06-09,Open,"2024-05-03 16:27:38",7,"Achmed M.",Problem
8,CS_311542,"Password Reset",3,1,3,2023-06-09,2023-08-23,"In Process","2024-05-03 16:27:38",75,"Joe S.",Incident
9,CS_229616,Design,1,2,2,2023-05-29,2023-07-21,"In Process","2024-05-03 16:27:38",53,"Rona E.",Incident
10,CS_191328,Construction,1,2,2,2023-03-18,2023-05-15,Deployed,"2024-05-03 16:27:38",58,"Achmed M.",SR
11,CS_327681,Construction,2,3,4,2023-06-21,2023-09-21,"Deployed Failed","2024-05-03 16:27:38",92,"Bill B.",Change
12,CS_965372,"Password Reset",2,3,4,2023-01-26,2023-02-28,"On Hold","2024-05-03 16:27:38",33,"Achmed M.",Change
13,CS_720390,Test,3,1,3,2023-05-09,2023-05-11,"On Hold","2024-05-03 16:27:38",2,"George E.",Incident
14,CS_634883,"Password Reset",3,1,3,2023-04-30,2023-07-21,"Deployed Failed","2024-05-03 16:27:38",82,"Achmed M.",Change
15,CS_935031,"Password Reset",3,3,5,2023-04-26,2023-05-27,"In Process","2024-05-03 16:27:38",31,"Bill B.",SR
16,CS_236096,"Password Reset",1,1,1,2023-02-06,2023-03-26,Deployed,"2024-05-03 16:27:38",48,"George E.",Problem
17,CS_644908,Test,1,3,3,2023-04-30,2023-06-15,"Deployed Failed","2024-05-03 16:27:38",46,"Rona E.",Problem
18,CS_454607,Construction,1,2,2,2023-02-26,2023-05-09,"In Process","2024-05-03 16:27:38",72,"Achmed M.",SR
19,CS_727430,"Password Reset",3,2,4,2023-01-07,2023-04-01,Deployed,"2024-05-03 16:27:38",84,"Joe S.",SR
20,CS_318614,Construction,3,1,3,2023-05-28,2023-09-04,Open,"2024-05-03 16:27:38",99,"Joe S.",SR
21,CS_161777,Design,2,3,4,2023-04-06,2023-06-16,"On Hold","2024-05-03 16:27:38",71,"George E.",SR
22,CS_879709,Design,1,2,2,2023-04-20,2023-05-24,"Deployed Failed","2024-05-03 16:27:38",34,"Joe S.",Problem
23,CS_864634,"Password Reset",2,3,4,2023-02-16,2023-05-15,"Deployed Failed","2024-05-03 16:27:38",88,"Joe S.",Incident
24,CS_639128,Construction,3,1,3,2023-05-13,2023-08-08,"Deployed Failed","2024-05-03 16:27:38",87,"Rona E.",Incident
25,CS_502054,Construction,2,3,4,2023-05-03,2023-05-11,"Deployed Failed","2024-05-03 16:27:38",8,"Bill B.",SR
26,CS_294135,Construction,1,3,3,2023-03-22,2023-06-19,"In Process","2024-05-03 16:27:38",89,"Rona E.",Incident
27,CS_951174,Design,1,3,3,2023-02-21,2023-03-13,"On Hold","2024-05-03 16:27:38",20,"Bill B.",Problem
28,CS_266524,Design,1,3,3,2023-05-24,2023-07-13,Deployed,"2024-05-03 16:27:38",50,"Achmed M.",Problem
29,CS_799145,Design,2,1,2,2023-02-12,2023-04-12,Open,"2024-05-03 16:27:38",59,"Rona E.",Incident
30,CS_136025,Design,1,2,2,2023-02-22,2023-04-02,Deployed,"2024-05-03 16:27:38",39,"Achmed M.",SR
31,CS_345226,Construction,1,2,2,2023-02-16,2023-04-14,Open,"2024-05-03 16:27:38",57,"Achmed M.",Incident
32,CS_995839,Design,3,1,3,2023-01-27,2023-04-21,Deployed,"2024-05-03 16:27:38",84,"Bill B.",Change
33,CS_834093,Design,3,1,3,2023-02-16,2023-03-04,"Deployed Failed","2024-05-03 16:27:38",16,"Rona E.",Incident
34,CS_507724,Design,2,3,4,2023-04-04,2023-05-23,Deployed,"2024-05-03 16:27:38",49,"Joe S.",Problem
35,CS_176185,Test,3,2,4,2023-01-26,2023-03-21,"In Process","2024-05-03 16:27:38",54,"Joe S.",Incident
36,CS_840353,"Password Reset",3,3,5,2023-06-18,2023-09-17,Open,"2024-05-03 16:27:38",91,"George E.",Change
37,CS_866128,Construction,1,2,2,2023-03-19,2023-06-24,"Deployed Failed","2024-05-03 16:27:38",97,"Joe S.",SR
38,CS_347556,"Password Reset",2,3,4,2023-02-27,2023-05-31,"Deployed Failed","2024-05-03 16:27:38",93,"George E.",Incident
39,CS_868394,Test,3,2,4,2023-04-20,2023-06-30,"In Process","2024-05-03 16:27:38",71,"Achmed M.",Problem
40,CS_844028,Test,1,2,2,2023-01-05,2023-02-16,"On Hold","2024-05-03 16:27:38",42,"Joe S.",SR
41,CS_334809,Construction,1,1,1,2023-04-04,2023-06-02,"In Process","2024-05-03 16:27:38",59,"Joe S.",Change
42,CS_764506,Construction,3,2,4,2023-01-22,2023-04-25,Open,"2024-05-03 16:27:38",93,"Bill B.",SR
43,CS_749744,Design,2,1,2,2023-04-14,2023-06-24,Open,"2024-05-03 16:27:38",71,"Achmed M.",Incident
44,CS_132812,Construction,1,3,3,2023-06-01,2023-07-26,"On Hold","2024-05-03 16:27:38",55,"Joe S.",Problem
45,CS_927391,"Password Reset",1,3,3,2023-06-29,2023-09-21,"On Hold","2024-05-03 16:27:38",84,"Joe S.",Incident
46,CS_419589,Construction,3,3,5,2023-02-27,2023-03-06,Deployed,"2024-05-03 16:27:38",7,"Achmed M.",Change
47,CS_536312,Construction,3,1,3,2023-03-23,2023-05-27,"In Process","2024-05-03 16:27:38",65,"Achmed M.",SR
48,CS_785112,"Password Reset",1,1,1,2023-01-14,2023-02-16,Open,"2024-05-03 16:27:38",33,"Rona E.",SR
49,CS_452718,Test,1,1,1,2023-06-07,2023-09-14,"On Hold","2024-05-03 16:27:38",99,"George E.",SR
50,CS_312105,Test,1,2,2,2023-01-13,2023-02-01,Open,"2024-05-03 16:27:38",19,"Rona E.",Change
51,CS_320449,Design,2,3,4,2023-02-18,2023-04-21,Open,"2024-05-03 16:27:38",62,"Achmed M.",Incident
52,CS_550085,Design,3,2,4,2023-03-29,2023-06-06,"Deployed Failed","2024-05-03 16:27:38",69,"Rona E.",Change
53,CS_496024,Design,3,2,4,2023-01-03,2023-02-01,Deployed,"2024-05-03 16:27:38",29,"Achmed M.",Incident
54,CS_975760,Design,2,3,4,2023-04-14,2023-07-11,Deployed,"2024-05-03 16:27:38",88,"Rona E.",SR
55,CS_725582,Design,3,1,3,2023-03-21,2023-05-19,"On Hold","2024-05-03 16:27:38",59,"Bill B.",SR
56,CS_846503,Design,1,3,3,2023-06-20,2023-08-09,"On Hold","2024-05-03 16:27:38",50,"Joe S.",Change
57,CS_846376,Test,3,1,3,2023-06-21,2023-06-25,Open,"2024-05-03 16:27:38",4,"Rona E.",Incident
58,CS_835530,"Password Reset",1,3,3,2023-05-01,2023-06-30,Open,"2024-05-03 16:27:38",60,"Achmed M.",SR
59,CS_624338,Test,2,1,2,2023-02-06,2023-05-10,Deployed,"2024-05-03 16:27:38",93,"Achmed M.",Problem
60,CS_162331,"Password Reset",1,1,1,2023-03-12,2023-06-12,"On Hold","2024-05-03 16:27:38",92,"Rona E.",Problem
61,CS_754992,Design,2,2,3,2023-05-06,2023-05-31,Open,"2024-05-03 16:27:38",25,"Achmed M.",Incident
62,CS_814344,Test,1,2,2,2023-06-24,2023-07-15,Open,"2024-05-03 16:27:38",21,"Bill B.",Problem
63,CS_897086,Test,1,3,3,2023-02-23,2023-05-27,Open,"2024-05-03 16:27:38",93,"Rona E.",Problem
64,CS_519248,Design,1,1,1,2023-06-08,2023-07-06,"In Process","2024-05-03 16:27:38",28,"Joe S.",Change
65,CS_217884,"Password Reset",3,2,4,2023-04-24,2023-04-29,Deployed,"2024-05-03 16:27:38",5,"Bill B.",Incident
66,CS_395416,Test,2,1,2,2023-04-29,2023-05-12,"In Process","2024-05-03 16:27:38",13,"Rona E.",Incident
67,CS_421110,Test,3,3,5,2023-04-25,2023-05-31,Deployed,"2024-05-03 16:27:38",36,"Joe S.",Incident
68,CS_897782,"Password Reset",3,2,4,2023-06-27,2023-09-28,"In Process","2024-05-03 16:27:38",93,"Achmed M.",Incident
69,CS_958772,Design,2,2,3,2023-03-17,2023-05-05,Deployed,"2024-05-03 16:27:38",49,"Rona E.",Change
70,CS_846622,Test,3,1,3,2023-02-03,2023-03-13,"On Hold","2024-05-03 16:27:38",38,"Bill B.",Change
71,CS_622421,Test,1,1,1,2023-05-21,2023-08-29,"In Process","2024-05-03 16:27:38",100,"Bill B.",Problem
72,CS_934198,Test,2,1,2,2023-03-18,2023-05-26,"In Process","2024-05-03 16:27:38",69,"Rona E.",Problem
73,CS_541143,Construction,1,2,2,2023-04-02,2023-04-25,"Deployed Failed","2024-05-03 16:27:38",23,"Achmed M.",SR
74,CS_335018,"Password Reset",1,1,1,2023-06-10,2023-07-09,Deployed,"2024-05-03 16:27:38",29,"George E.",Incident
75,CS_103372,Test,3,2,4,2023-01-04,2023-02-28,"In Process","2024-05-03 16:27:38",55,"Bill B.",Change
76,CS_878268,Design,2,3,4,2023-04-13,2023-07-08,"On Hold","2024-05-03 16:27:38",86,"Joe S.",Change
77,CS_440862,Test,1,3,3,2023-02-28,2023-05-10,"Deployed Failed","2024-05-03 16:27:38",71,"Achmed M.",Incident
78,CS_729595,Construction,1,1,1,2023-03-24,2023-05-28,"Deployed Failed","2024-05-03 16:27:38",65,"Bill B.",Problem
79,CS_531395,Design,1,3,3,2023-02-24,2023-04-24,Open,"2024-05-03 16:27:38",59,"Bill B.",SR
80,CS_861216,Test,1,1,1,2023-03-08,2023-05-25,"On Hold","2024-05-03 16:27:38",78,"Rona E.",Change
81,CS_705049,"Password Reset",3,2,4,2023-03-29,2023-04-19,"In Process","2024-05-03 16:27:38",21,"George E.",Incident
82,CS_763563,"Password Reset",3,2,4,2023-03-15,2023-04-21,"In Process","2024-05-03 16:27:38",37,"Joe S.",Incident
83,CS_362919,Test,2,3,4,2023-03-01,2023-04-08,"In Process","2024-05-03 16:27:38",38,"Joe S.",SR
84,CS_563242,Test,3,2,4,2023-03-24,2023-04-19,Open,"2024-05-03 16:27:38",26,"Bill B.",Change
85,CS_944838,Design,3,2,4,2023-03-31,2023-06-24,Open,"2024-05-03 16:27:38",85,"Bill B.",Incident
86,CS_198153,Design,1,1,1,2023-02-11,2023-04-24,Open,"2024-05-03 16:27:38",72,"Achmed M.",Change
87,CS_261081,"Password Reset",3,1,3,2023-06-21,2023-09-19,"In Process","2024-05-03 16:27:38",90,"Bill B.",Problem
88,CS_752203,Test,1,3,3,2023-04-04,2023-06-30,Open,"2024-05-03 16:27:38",87,"George E.",Change
89,CS_422458,Test,3,2,4,2023-03-12,2023-05-13,Open,"2024-05-03 16:27:38",62,"Bill B.",Incident
90,CS_839229,"Password Reset",3,1,3,2023-01-08,2023-02-18,"Deployed Failed","2024-05-03 16:27:38",41,"Rona E.",Problem
91,CS_469064,Design,3,2,4,2023-06-23,2023-07-26,"Deployed Failed","2024-05-03 16:27:38",33,"George E.",Incident
92,CS_465835,"Password Reset",3,3,5,2023-02-25,2023-03-27,"On Hold","2024-05-03 16:27:38",30,"Bill B.",Incident
93,CS_516913,Construction,3,2,4,2023-04-12,2023-05-22,"In Process","2024-05-03 16:27:38",40,"Bill B.",Incident
94,CS_686595,Construction,3,2,4,2023-01-22,2023-02-10,Deployed,"2024-05-03 16:27:38",19,"Achmed M.",Incident
95,CS_326867,Construction,2,1,2,2023-05-24,2023-06-03,"Deployed Failed","2024-05-03 16:27:38",10,"Achmed M.",Incident
96,CS_109567,Construction,1,1,1,2023-03-25,2023-04-21,Open,"2024-05-03 16:27:38",27,"Joe S.",Incident
97,CS_909791,"Password Reset",3,1,3,2023-02-04,2023-03-18,Open,"2024-05-03 16:27:38",42,"Rona E.",Change
98,CS_766341,Test,3,3,5,2023-03-18,2023-06-08,"In Process","2024-05-03 16:27:38",82,"Rona E.",Incident
